Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,VehiclePrice,PoliceReportFiled,WitnessPresent,NumberOfSuppliments,AddressChange_Claim,Deductible,DriverRating,Age,AgeOfVehicle,Fault,AccidentArea,BasePolicy,VehicleCategory,FraudFound_P
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,2,52,more than 7,Third Party,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,4,29,6 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,3,35,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,more than 5,no change,400,4,34,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,1 to 2,no change,400,1,60,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,more than 69000,Yes,No,more than 5,no change,400,4,43,7 years,Third Party,Rural,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,more than 5,no change,400,2,35,5 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,2 to 3 years,500,3,27,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,4 to 8 years,400,4,53,more than 7,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,less than 20000,No,No,none,no change,400,1,53,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,4 to 8 years,400,2,50,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,Yes,No,1 to 2,no change,400,2,72,more than 7,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,1,20000 to 29000,No,No,more than 5,no change,400,1,39,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,less than 20000,No,No,1 to 2,no change,400,4,74,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,more than 4,more than 69000,No,No,none,no change,400,1,0,new,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,2 to 4,more than 69000,No,No,3 to 5,no change,400,4,33,7 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,more than 4,30000 to 39000,No,No,none,no change,400,2,32,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,30000 to 39000,No,No,1 to 2,no change,400,2,54,more than 7,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,3,34,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,more than 5,2 to 3 years,500,4,46,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,4,64,more than 7,Policy Holder,Urban,All Perils,Utility,0
more than 30,more than 30,2 to 4,less than 20000,No,No,more than 5,no change,400,3,37,6 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,more than 4,20000 to 29000,No,No,none,no change,400,1,31,6 years,Policy Holder,Urban,Liability,Sport,0
none,more than 30,1,30000 to 39000,No,No,none,no change,400,1,38,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,more than 69000,No,No,3 to 5,no change,400,1,34,6 years,Policy Holder,Urban,Collision,Sport,1
more than 30,more than 30,more than 4,20000 to 29000,No,No,none,no change,400,1,49,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,more than 69000,No,No,none,no change,400,1,51,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,more than 5,no change,400,2,22,5 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,30000 to 39000,No,No,none,no change,400,4,27,3 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,no change,400,1,35,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,3 to 5,no change,400,2,18,4 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,2 to 4,less than 20000,No,No,none,no change,400,3,36,7 years,Policy Holder,Rural,All Perils,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,more than 5,no change,400,3,30,7 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,more than 4,30000 to 39000,No,No,none,no change,400,3,32,7 years,Third Party,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,no change,400,3,55,more than 7,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,4,51,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,3,33,6 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,more than 69000,Yes,No,none,no change,400,3,44,7 years,Third Party,Rural,Collision,Sedan,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,more than 5,no change,400,2,36,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,1,59,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,more than 5,no change,400,1,35,6 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,3,0,new,Policy Holder,Rural,All Perils,Sedan,1
more than 30,more than 30,2 to 4,30000 to 39000,No,No,none,no change,400,2,50,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,more than 4,30000 to 39000,No,No,1 to 2,no change,400,2,43,7 years,Third Party,Urban,Liability,Sport,0
more than 30,more than 30,none,more than 69000,No,No,3 to 5,2 to 3 years,500,4,33,7 years,Third Party,Urban,Collision,Sport,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,no change,400,1,55,6 years,Policy Holder,Urban,Liability,Sport,1
more than 30,more than 30,more than 4,30000 to 39000,No,No,more than 5,no change,400,3,39,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,more than 69000,No,No,none,no change,400,3,46,more than 7,Policy Holder,Urban,Collision,Sport,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,2,55,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,2,45,7 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,more than 5,4 to 8 years,400,3,33,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,more than 69000,No,No,none,no change,400,4,0,new,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,400,4,26,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,2,36,7 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,no change,400,2,26,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,30000 to 39000,No,No,3 to 5,no change,400,1,47,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,more than 69000,No,No,more than 5,no change,400,3,50,more than 7,Policy Holder,Urban,All Perils,Utility,0
more than 30,more than 30,none,less than 20000,No,No,none,no change,400,2,42,more than 7,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,4,19,4 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,no change,400,3,51,6 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,30000 to 39000,No,No,none,no change,400,1,56,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,less than 20000,No,No,none,no change,400,4,31,6 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,4,33,6 years,Policy Holder,Rural,Collision,Sedan,0
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,1,0,new,Policy Holder,Urban,Collision,Sedan,0
15 to 30,more than 30,none,40000 to 59000,No,No,1 to 2,no change,400,3,47,more than 7,Policy Holder,Rural,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,3,61,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,40000 to 59000,No,No,none,no change,400,1,34,7 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,3 to 5,no change,400,2,52,more than 7,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,3,35,3 years,Policy Holder,Urban,Collision,Sport,1
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,3,40,7 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,2 to 4,30000 to 39000,No,No,none,no change,400,2,55,more than 7,Policy Holder,Rural,Collision,Sedan,1
more than 30,more than 30,2 to 4,more than 69000,No,No,none,no change,400,1,40,7 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,more than 4,20000 to 29000,No,No,more than 5,no change,400,1,61,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,more than 4,30000 to 39000,No,No,more than 5,no change,400,3,44,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,40000 to 59000,No,No,none,no change,400,2,50,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,2,49,more than 7,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,more than 4,20000 to 29000,No,No,3 to 5,no change,400,3,26,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,less than 20000,No,No,1 to 2,no change,400,4,31,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,none,no change,400,1,59,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,none,no change,400,3,50,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,2,23,6 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,none,no change,400,4,28,7 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,4,27,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,no change,400,1,36,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,more than 69000,No,No,none,no change,400,3,36,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,3,28,6 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,less than 20000,No,No,more than 5,no change,700,2,43,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,400,2,35,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,1 to 2,no change,400,3,35,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,1,38,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,400,3,35,7 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,1,20000 to 29000,No,No,none,2 to 3 years,500,3,37,7 years,Third Party,Urban,Collision,Sedan,1
more than 30,more than 30,none,30000 to 39000,No,No,none,no change,400,1,33,7 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,1 to 2,no change,400,1,27,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,30000 to 39000,No,No,none,no change,400,1,39,6 years,Policy Holder,Rural,Collision,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,more than 5,no change,400,3,37,5 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,more than 5,no change,400,3,30,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,30000 to 39000,No,No,none,no change,400,1,30,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,4 to 8 years,400,4,32,5 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,1,19,5 years,Policy Holder,Urban,Collision,Sport,1
more than 30,more than 30,1,30000 to 39000,No,No,none,no change,400,1,27,6 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,2 to 3 years,500,1,33,6 years,Third Party,Urban,All Perils,Sedan,1
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,4,46,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,more than 5,no change,400,4,38,7 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,3,51,more than 7,Policy Holder,Urban,Collision,Sport,1
more than 30,more than 30,1,40000 to 59000,No,No,3 to 5,no change,400,4,39,7 years,Policy Holder,Rural,Collision,Sedan,1
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,2,59,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,no change,400,4,27,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,less than 20000,No,No,more than 5,no change,400,1,42,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,none,no change,400,2,47,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,more than 4,40000 to 59000,Yes,No,more than 5,no change,400,4,49,more than 7,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,1,30000 to 39000,No,No,more than 5,no change,400,2,39,7 years,Third Party,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,none,4 to 8 years,400,1,35,6 years,Policy Holder,Rural,All Perils,Sedan,0
more than 30,more than 30,more than 4,40000 to 59000,No,No,3 to 5,no change,400,4,56,more than 7,Third Party,Rural,Liability,Sport,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,1 to 2,no change,400,4,35,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,less than 20000,No,No,none,no change,400,3,48,more than 7,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,more than 4,20000 to 29000,No,No,none,no change,400,1,31,7 years,Third Party,Urban,Liability,Sport,0
more than 30,more than 30,1,30000 to 39000,No,No,none,no change,400,2,37,7 years,Policy Holder,Rural,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,no change,400,2,48,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,40000 to 59000,No,No,none,no change,400,2,53,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,2,54,6 years,Policy Holder,Rural,Collision,Sedan,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,1,31,6 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,2 to 4,30000 to 39000,No,No,3 to 5,no change,400,4,31,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,none,no change,400,2,40,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,less than 20000,No,No,none,no change,700,3,47,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,3 to 5,no change,400,1,60,more than 7,Third Party,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,1 to 2,no change,400,3,27,6 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,more than 4,20000 to 29000,No,No,1 to 2,no change,400,4,43,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,less than 20000,No,No,none,no change,400,3,28,4 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,more than 5,no change,400,3,54,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,1 to 2,no change,400,1,35,7 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,none,more than 69000,No,No,more than 5,2 to 3 years,500,4,45,7 years,Third Party,Urban,All Perils,Sedan,1
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,1,0,new,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,1,more than 69000,No,No,none,no change,400,4,21,5 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,more than 5,no change,400,3,27,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,4,34,7 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,1,55,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,1 to 2,no change,400,2,34,7 years,Policy Holder,Rural,Collision,Sedan,1
more than 30,more than 30,more than 4,20000 to 29000,No,No,more than 5,no change,400,4,32,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,none,no change,400,1,37,7 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,1,40000 to 59000,No,No,none,no change,400,2,48,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,more than 5,no change,400,2,34,7 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,none,30000 to 39000,No,No,more than 5,no change,400,1,30,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,more than 5,no change,400,3,39,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,1 to 2,no change,400,1,28,6 years,Policy Holder,Urban,All Perils,Sedan,0
15 to 30,more than 30,none,20000 to 29000,No,No,none,no change,400,4,43,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,no change,400,2,45,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,more than 69000,No,No,none,no change,400,1,27,7 years,Policy Holder,Rural,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,no change,400,4,60,more than 7,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,3,43,7 years,Policy Holder,Rural,Liability,Sport,0
more than 30,more than 30,more than 4,40000 to 59000,No,No,1 to 2,no change,400,2,45,more than 7,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,no change,400,2,21,5 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,4,35,5 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,none,more than 69000,No,No,1 to 2,no change,400,2,26,6 years,Policy Holder,Urban,All Perils,Utility,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,1 year,400,3,27,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,3,50,more than 7,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,none,less than 20000,No,No,1 to 2,no change,400,1,41,7 years,Third Party,Rural,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,2,35,6 years,Third Party,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,no change,400,2,28,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,4,30,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,more than 69000,No,No,1 to 2,no change,700,1,39,7 years,Third Party,Urban,Collision,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,2,32,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,30000 to 39000,No,No,1 to 2,no change,400,2,47,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,2,37,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,more than 69000,No,No,none,4 to 8 years,400,3,26,7 years,Policy Holder,Urban,All Perils,Utility,1
more than 30,more than 30,none,30000 to 39000,No,No,none,no change,400,2,51,more than 7,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,more than 5,no change,400,3,28,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,3,17,3 years,Policy Holder,Rural,Collision,Sport,1
more than 30,more than 30,1,more than 69000,No,No,1 to 2,no change,400,1,46,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,none,no change,400,1,52,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,2 to 3 years,300,3,33,5 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,more than 5,no change,400,4,31,5 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,more than 69000,No,No,none,4 to 8 years,400,2,51,more than 7,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,none,4 to 8 years,400,3,26,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,3 to 5,no change,400,1,25,5 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,more than 69000,No,No,1 to 2,no change,400,1,38,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,400,4,39,7 years,Third Party,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,1,50,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,30000 to 39000,No,No,more than 5,no change,400,2,43,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,more than 69000,No,No,more than 5,no change,400,4,43,more than 7,Policy Holder,Rural,All Perils,Sedan,0
more than 30,more than 30,none,30000 to 39000,No,No,3 to 5,no change,400,2,60,more than 7,Policy Holder,Rural,Liability,Sport,0
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,1,0,new,Policy Holder,Urban,All Perils,Sport,0
more than 30,more than 30,2 to 4,less than 20000,No,No,1 to 2,no change,400,4,80,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,4,44,5 years,Policy Holder,Urban,All Perils,Sedan,0
